Action day,Created on,Last update,Campaign name,Status,Platform,Keyword,Ad impressions,Ad clicks,CTR,Site sessions,Unique visitors,Total orders,Total sales,Average order value,Order conversion rate,Amount spent,ROAS,CPC,CPA
2023-12-02,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Facebook Ads with Wix,_,0,0,0.00%,1,1,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-26,2023-12-21,,Google Ads Campaign 2,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-27,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-01,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-06,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,18,18,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-21,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-03,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-09,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-11-30,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,16,16,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-01,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Facebook Ads with Wix,_,0,0,0.00%,1,1,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-23,2023-12-21,,Google Ads Campaign 2,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-11,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,19,19,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-09,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-24,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-10,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-10,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,27,26,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-02,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-21,2023-12-21,,Google Ads Campaign 2,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-06,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-05,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-07,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,19,19,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-25,2023-12-21,,Google Ads Campaign 2,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-12,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,19,19,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-01,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,15,15,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-15,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,12,11,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-17,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-09,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,22,22,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-08,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-13,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-14,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-16,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,10,10,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-27,2023-12-21,,Google Ads Campaign 2,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-21,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-25,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-08,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-10,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-23,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-18,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-11-30,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-16,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-16,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-19,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-15,2023-08-31,2023-09-29,Google Ads Campaign 1,ENDED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-22,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-07,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-14,2023-08-16,2023-11-27,Facebook & Instagram Ads campaign,ACTIVE,Instagram Ads with Wix,_,0,0,0.00%,9,9,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
2023-12-18,2023-08-16,,Google Ads Campaign,PAUSED,Google Ads with Wix,_,0,0,0.00%,0,0,0,0.00,0.00,0.00%,0.00,0.00%,0.00,0.00
